accepted_name,lat,lng,class_name
tyrannosaurus rex,51.906399,-113.0289,Tyrannosaurus_Rex
tyrannosaurus rex,51.933334,-113.23333,Tyrannosaurus_Rex
ankylosaurus magniventris,47.637699,-106.569901,Ankylosaurus
pachycephalosaurus wyomingensis,47.695831,-106.227776,Pachycephalosaurus
stegosaurus,42.035831,-106.389999,Stegosaurus
dilophosaurus wetherilli,36.145279,-110.32,Dilophosaurus
dilophosaurus wetherilli,36.099998,-110.300003,Dilophosaurus
stegosaurus stenops,42.017776,-106.048615,Stegosaurus
tyrannosaurus rex,50.727234,-111.524582,Tyrannosaurus_Rex
velociraptor,50.727234,-111.524582,Velociraptor
stegosaurus,43.630001,-108.199997,Stegosaurus
velociraptor mongoliensis,44.25,103.333336,Velociraptor
stegosaurus,40.423611,-109.205833,Stegosaurus
stegosaurus,40.441387,-109.300552,Stegosaurus
triceratops prorsus,46.466389,-104.021111,Triceratops
dilophosaurus sinensis,24.671667,102.591942,Dilophosaurus
spinosaurus aegyptiacus,28.43112,28.914782,Spinosaurus
spinosaurus aegyptiacus,30.505667,-4.836939,Spinosaurus
tyrannosaurus rex,43.505402,-104.427002,Tyrannosaurus_Rex
tyrannosaurus,43.505402,-104.427002,Tyrannosaurus_Rex
triceratops,43.299999,-104.366669,Triceratops
tyrannosaurus rex,40.386391,-104.491669,Tyrannosaurus_Rex
triceratops,40.386391,-104.491669,Triceratops
velociraptorinae,45.566666,22.883333,Velociraptor
stegosaurus,39.675598,-105.192596,Stegosaurus
compsognathus longipes,43.705021,6.37315,Compsognathus
gallimimus bullatus,43.601665,100.456665,Gallimimus
velociraptor mongoliensis,43.664444,100.901947,Velociraptor
velociraptor,43.664444,100.901947,Velociraptor
tyrannosaurus,48.625599,44.0592,Tyrannosaurus_Rex
tyrannosaurus rex,47.536201,-107.083,Tyrannosaurus_Rex
triceratops,47.536201,-107.083,Triceratops
velociraptorinae,16.695,31.145,Velociraptor
compsognathus,39.700001,-8.8,Compsognathus
velociraptorinae,39.700001,-8.8,Velociraptor
gallimimus bullatus,43.439934,100.369415,Gallimimus
gallimimus bullatus,43.529167,101.044724,Gallimimus
stegosaurus ungulatus,41.9077,-105.963402,Stegosaurus
stegosaurus sulcatus,41.9077,-105.963402,Stegosaurus
stegosaurus stenops,41.9077,-105.963402,Stegosaurus
stegosaurus,41.9077,-105.963402,Stegosaurus
brachiosaurus,41.9077,-105.963402,Brachiosaurus
stegosaurus,41.9077,-105.963402,Stegosaurus
stegosaurus stenops,38.539501,-105.224701,Stegosaurus
stegosaurus,38.539501,-105.224701,Stegosaurus
brachiosaurus,38.539501,-105.224701,Brachiosaurus
stegosaurus,41.9077,-105.963402,Stegosaurus
stegosaurus,41.9077,-105.982803,Stegosaurus
stegosaurus,41.893101,-106.021599,Stegosaurus
stegosaurus duplex,41.893101,-106.002197,Stegosaurus
stegosaurus ungulatus,41.8825,-106.1073,Stegosaurus
stegosaurus,41.9077,-105.963402,Stegosaurus
tyrannosaurus rex,45.948799,-103.9617,Tyrannosaurus_Rex
tyrannosaurus rex,45.948799,-103.9617,Tyrannosaurus_Rex
tyrannosaurus rex,46.099998,-103.300003,Tyrannosaurus_Rex
tyrannosaurus rex,45.977699,-103.753899,Tyrannosaurus_Rex
tyrannosaurus rex,46.026402,-103.766899,Tyrannosaurus_Rex
tyrannosaurus rex,46.026402,-103.766899,Tyrannosaurus_Rex
tyrannosaurus rex,46.026402,-103.766899,Tyrannosaurus_Rex
tyrannosaurus rex,46.026402,-103.766899,Tyrannosaurus_Rex
tyrannosaurus rex,46.026402,-103.766899,Tyrannosaurus_Rex
triceratops horridus,46.305,-103.981499,Triceratops
tyrannosaurus rex,46.136902,-103.795403,Tyrannosaurus_Rex
tyrannosaurus rex,46.406399,-103.939697,Tyrannosaurus_Rex
tyrannosaurus rex,46.381901,-103.964401,Tyrannosaurus_Rex
tyrannosaurus rex,46.449799,-103.0233,Tyrannosaurus_Rex
tyrannosaurus rex,46.464298,-104.0233,Tyrannosaurus_Rex
tyrannosaurus rex,46.334,-103.897903,Tyrannosaurus_Rex
tyrannosaurus rex,46.334,-103.897903,Tyrannosaurus_Rex
tyrannosaurus rex,46.334,-103.897903,Tyrannosaurus_Rex
tyrannosaurus rex,46.464298,-104.002403,Tyrannosaurus_Rex
tyrannosaurus rex,46.464298,-104.002403,Tyrannosaurus_Rex
tyrannosaurus rex,46.3629,-103.897903,Tyrannosaurus_Rex
tyrannosaurus rex,45.93903,-103.946098,Tyrannosaurus_Rex
tyrannosaurus rex,45.93903,-103.946098,Tyrannosaurus_Rex
tyrannosaurus rex,45.93903,-103.946098,Tyrannosaurus_Rex
triceratops prorsus,49.036098,-106.596603,Triceratops
triceratops,49.036098,-106.596603,Triceratops
triceratops,47.799999,-106.099998,Triceratops
ankylosaurus magniventris,41.568298,-108.667801,Ankylosaurus
ankylosaurus magniventris,47.5667,-107.099998,Ankylosaurus
ankylosaurus magniventris,51.862801,-113.005402,Ankylosaurus
ankylosaurus magniventris,51.8773,-113.005402,Ankylosaurus
tyrannosaurus rex,43.441799,-104.411598,Tyrannosaurus_Rex
ankylosaurus magniventris,43.441799,-104.411598,Ankylosaurus
ankylosaurus magniventris,45.550201,-105.114723,Ankylosaurus
triceratops horridus,42.195904,-104.457275,Triceratops
triceratops horridus,43.121864,-104.647118,Triceratops
triceratops prorsus,43.120808,-104.645187,Triceratops
triceratops prorsus,43.144444,-104.91111,Triceratops
triceratops horridus,43.237862,-104.608406,Triceratops
triceratops horridus,43.15778,-104.553055,Triceratops
triceratops horridus,43.191978,-104.644264,Triceratops
triceratops horridus,43.227592,-104.572258,Triceratops
triceratops horridus,43.181259,-104.551041,Triceratops
triceratops,43.178665,-104.605408,Triceratops
corythosaurus casuarius,50.806301,-111.628029,Corythosaurus
corythosaurus casuarius,50.806023,-111.624336,Corythosaurus
parasaurolophus walkeri,50.750126,-111.488625,Parasaurolophus
corythosaurus casuarius,50.688,-111.616669,Corythosaurus
triceratops,47.675835,-106.427223,Triceratops
pachycephalosaurus,47.675835,-106.427223,Pachycephalosaurus
brachiosaurus,44.650002,-107.816666,Brachiosaurus
triceratops horridus,51.891899,-113.005402,Triceratops
triceratops horridus,51.906399,-113.0289,Triceratops
dimorphodontidae,-84.333336,166.449997,Dimorphodon
parasaurolophus,36.103901,-108.088402,Parasaurolophus
parasaurolophus tubicen,36.5,-108.083336,Parasaurolophus
pachycephalosaurus wyomingensis,47.876701,-106.198402,Pachycephalosaurus
pachycephalosaurus wyomingensis,45.755199,-104.952904,Pachycephalosaurus
pachycephalosaurus wyomingensis,45.668301,-101.480698,Pachycephalosaurus
stegosaurus stenops,38.541,-105.212502,Stegosaurus
stegosaurus stenops,38.541,-105.212502,Stegosaurus
stegosaurus,38.544998,-105.193703,Stegosaurus
stegosaurus stenops,38.5168,-105.210602,Stegosaurus
triceratops,43.183334,-104.533333,Triceratops
triceratops,37.579166,-111.830559,Triceratops
parasaurolophus,36.3713,-108.261299,Parasaurolophus
pachycephalosaurus wyomingensis,46.348499,-103.897903,Pachycephalosaurus
pachycephalosaurus wyomingensis,47.666698,-106.366699,Pachycephalosaurus
pachycephalosaurus wyomingensis,47.533298,-106.916702,Pachycephalosaurus
pachycephalosaurus wyomingensis,45.849998,-104.833298,Pachycephalosaurus
tyrannosaurus rex,47.96389,-106.455559,Tyrannosaurus_Rex
pachycephalosaurus wyomingensis,47.96389,-106.455559,Pachycephalosaurus
tyrannosaurus rex,47.96389,-106.455559,Tyrannosaurus_Rex
tyrannosaurus rex,48.286839,-105.839996,Tyrannosaurus_Rex
triceratops horridus,47.839645,-106.161316,Triceratops
pachycephalosaurus wyomingensis,47.599998,-106.383301,Pachycephalosaurus
triceratops,47.599998,-106.383301,Triceratops
triceratops,43.116329,-104.637001,Triceratops
pachycephalosaurus wyomingensis,43.116329,-104.637001,Pachycephalosaurus
ankylosaurus magniventris,43.116329,-104.637001,Ankylosaurus
tyrannosaurus rex,43.116329,-104.637001,Tyrannosaurus_Rex
triceratops,47.533298,-106.883301,Triceratops
brachiosaurus,-16.265833,30.800833,Brachiosaurus
triceratops,47.799999,-106.099998,Triceratops
triceratops,47.616699,-106.183296,Triceratops
spinosaurus aegyptiacus,28.379345,28.926096,Spinosaurus
stegosaurus,38.583099,-108.397202,Stegosaurus
tyrannosaurus rex,39.751331,-105.203766,Tyrannosaurus_Rex
tyrannosaurus,39.751331,-105.203766,Tyrannosaurus_Rex
triceratops,39.810833,-105.011108,Triceratops
triceratops horridus,40.66996,-104.333191,Triceratops
tyrannosaurus rex,39.8675,-105.110275,Tyrannosaurus_Rex
tyrannosaurus rex,39.613335,-105.016113,Tyrannosaurus_Rex
tyrannosaurus rex,39.836666,-105.036667,Tyrannosaurus_Rex
pachycephalosaurus,39.836666,-105.036667,Pachycephalosaurus
tyrannosaurus rex,39.8675,-105.110275,Tyrannosaurus_Rex
stegosaurus,36.898899,-102.826103,Stegosaurus
stegosaurus,36.934399,-102.973801,Stegosaurus
stegosaurus stenops,41.967098,-106.291,Stegosaurus
velociraptorinae,39.051498,-111.038002,Velociraptor
brachiosaurus altithorax,38.638058,-108.194443,Brachiosaurus
stegosaurus,39.014301,-110.367203,Stegosaurus
stegosaurus,41.893055,-106.00222,Stegosaurus
stegosaurus,41.893055,-106.00222,Stegosaurus
triceratops,45.750278,-101.199997,Triceratops
triceratops,42.648609,-105.238609,Triceratops
triceratops horridus,43.27409,-104.603691,Triceratops
velociraptor mongoliensis,41.500557,106.98278,Velociraptor
triceratops horridus,43.139351,-104.707176,Triceratops
eudimorphodon,47.706112,8.451944,Dimorphodon
eudimorphodon,47.706112,8.451944,Dimorphodon
parasaurolophus cyrtocristatus,35.952778,-108.0,Parasaurolophus
spinosaurus aegyptiacus,28.417294,28.902561,Spinosaurus
spinosaurus aegyptiacus,28.33333,29.116669,Spinosaurus
dilophosaurus,35.666698,-111.167,Dilophosaurus
gallimimus,43.566002,103.524399,Gallimimus
parasaurolophus cyrtocristatus,37.6777,-111.777496,Parasaurolophus
triceratops,42.155556,-106.908333,Triceratops
triceratops,42.090302,-106.883698,Triceratops
pachycephalosaurus wyomingensis,43.151543,-104.622322,Pachycephalosaurus
triceratops horridus,41.907799,-104.1978,Triceratops
velociraptorinae,36.049999,136.883331,Velociraptor
corythosaurus casuarius,50.823826,-111.604233,Corythosaurus
triceratops horridus,43.298447,-104.662415,Triceratops
triceratops horridus,43.255741,-104.624504,Triceratops
triceratops horridus,43.200047,-104.657974,Triceratops
triceratops horridus,43.219185,-104.547592,Triceratops
triceratops horridus,43.219185,-104.547592,Triceratops
triceratops horridus,43.213612,-104.553886,Triceratops
triceratops horridus,43.213612,-104.553886,Triceratops
triceratops horridus,43.15778,-104.553055,Triceratops
triceratops horridus,43.132011,-104.563087,Triceratops
triceratops horridus,43.164665,-104.476509,Triceratops
triceratops,43.157288,-104.479118,Triceratops
triceratops prorsus,43.209248,-104.466469,Triceratops
triceratops horridus,43.193295,-104.463478,Triceratops
triceratops horridus,43.188305,-104.473907,Triceratops
triceratops horridus,43.15831,-104.544395,Triceratops
triceratops prorsus,43.311951,-104.419998,Triceratops
triceratops horridus,43.183613,-104.514442,Triceratops
tyrannosaurus rex,43.128304,-104.072433,Tyrannosaurus_Rex
spinosaurus aegyptiacus,30.9,-3.9833,Spinosaurus
spinosaurus aegyptiacus,30.9,-3.9833,Spinosaurus
spinosaurus aegyptiacus,30.9,-3.9833,Spinosaurus
spinosaurus,30.9,-3.9833,Spinosaurus
pachycephalosaurus wyomingensis,47.666698,-106.300003,Pachycephalosaurus
brachiosaurus,36.898899,-102.826103,Brachiosaurus
triceratops,49.400002,-107.400002,Triceratops
parasaurolophus,36.277779,-108.256111,Parasaurolophus
parasaurolophus,36.5,-108.083336,Parasaurolophus
tyrannosaurus rex,45.500801,-104.159698,Tyrannosaurus_Rex
tyrannosaurus rex,49.516666,-108.816666,Tyrannosaurus_Rex
triceratops,49.516666,-108.816666,Triceratops
triceratops,49.516666,-108.816666,Triceratops
triceratops,43.488888,-104.610558,Triceratops
triceratops,43.301666,-104.366386,Triceratops
gallimimus,43.86639,100.011108,Gallimimus
triceratops,33.154167,-107.192223,Triceratops
tyrannosaurus mcraeensis,33.242222,-107.149719,Tyrannosaurus_Rex
parasaurolophus tubicen,36.3148,-108.0485,Parasaurolophus
stegosaurus,39.167778,-108.774719,Stegosaurus
velociraptorinae,32.700558,-3.2175,Velociraptor
triceratops,47.5667,-107.083298,Triceratops
triceratops,47.599998,-106.216698,Triceratops
triceratops,47.6833,-106.216698,Triceratops
stegosaurus,41.916302,-106.356903,Stegosaurus
stegosaurus,41.951698,-106.310997,Stegosaurus
stegosaurus stenops,39.32399,-110.687622,Stegosaurus
eudimorphodon,49.811001,6.211,Dimorphodon
stegosaurus,42.155437,-105.90976,Stegosaurus
parasaurolophus,36.242001,-108.191299,Parasaurolophus
stegosaurus,36.9165,-102.834396,Stegosaurus
stegosaurus ungulatus,39.200081,-109.036133,Stegosaurus
brachiosaurus altithorax,39.068802,-108.650299,Brachiosaurus
stegosaurus,39.076099,-108.647003,Stegosaurus
